,,#,Player,Pos.,DOB,Age,HT,WT,School,"Orig.
Team","Draft
Status",,"NFL
Exp.",,
,,3,"Banks, Deonte",CB,03/03/2001,23,"6' 00""",200,Maryland,NYG,23 01 024,,2,,
,,55,"Basham, Boogie",OLB,12/16/1997,26,"6' 03""",274,Wake Forest,BUF,21 02 061,,4,,
,,82,"Bellinger, Daniel",TE,09/22/2000,23,"6' 05""",255,San Diego State,NYG,22 04 112,,3,,
,,24,"Belton, Dane",S,12/07/2000,23,"6' 01""",190,Iowa,NYG,22 04 114,,3,,
,,36,"Bolton, Curtis",ILB,12/18/1995,28,"6' 00""",228,Oklahoma,GB FA,19 CFA,,4,,
,,0,"Burns, Brian",OLB,04/23/1998,26,"6' 05""",250,Florida State,CAR,19 01 016,,6,,
,,94,"Chatman, Elijah",DE,12/05/2000,23,"5' 11""",278,SMU,NYG FA,24 CFA,,R,,
,,52,"Coughlin, Carter",ILB,07/21/1997,27,"6' 03""",240,Minnesota,NYG,20 07 218,,5,,
,,98,"Davidson, D.J.",DT,12/16/1999,24,"6' 04""",320,Arizona State,NYG,22 05 147,,3,,
,,15,"DeVito, Tommy",QB,08/07/1998,26,"6' 01""",210,Illinois,NYG FA,23 CFA,,2,,
,,72,"Eluemunor, Jermaine",OG/OT,12/13/1994,29,"6' 04""",338,Texas A&M,BAL,17 05 159,,8,,
,,75,"Ezeudu, Joshua",OG/OT,09/19/1999,24,"6' 04""",310,North Carolina,NYG,22 03 067,,3,,
,,28,"Flott, Cor'Dale",CB,08/24/2001,23,"6' 01""",175,LSU,NYG,22 03 081,,3,,
,,88,"Ford-Wheaton, Bryce",WR,03/09/2000,24,"6' 03""",220,West Virginia,NYG FA,23 CFA,,2,,
,,9,"Gano, Graham",PK,04/09/1987,37,"6' 02""",202,Florida State,BAL FA,09 CFA,,15,,
,,6,"Gillan, Jamie",PT,07/04/1997,27,"6' 01""",207,Arkansas-Pine Bluff,CLE FA,19 CFA,,6,,
,,20,"Gray, Eric",RB,11/04/1999,24,"5' 09""",211,Oklahoma,NYG,23 05 172,,2,,
,,37,"Hawkins III, Tre",CB,08/01/2000,24,"6' 02""",195,Old Dominion,NYG,23 06 209,,2,,
,,13,"Hyatt, Jalin",WR,09/25/2001,22,"6' 00""",185,Tennessee,NYG,23 03 073,,2,,
,,"21
Log","Jackson, Adoree'
In",CB,09/18/1995,28,"5' 10""",185,USC,TEN,17 01 018,,8,,
,,84,"Johnson, Theo",TE,02/26/2001,23,"6' 06""",264,Penn State,NYG,24 04 107,,R,,
,,23,"Johnson Jr., Anthony",S,12/02/1999,24,"6' 00""",205,Iowa State,GB,23,07 242,2,,
,"Star Wars Outlaws - Limited Edition (Amazon Exclu
8 Jones, Daniel QB 05/27/1997 27 6' 05"" 230 Duke NYG 19
$6999
59 Kreiter, Casey LS 08/13/1990 34 6' 01"" 250 Iowa DAL FA 14",8,"Jones, Daniel",QB,"S
05/27/1997
$","tar W
27
99","ars O
6' 05""","utlaw
230","s - Limited Edition (
Duke","Amazon E
NYG","xclu
19","sive), P
01 006","lay…
6",,
,,59,"Kreiter, Casey",LS,08/13/1990,"69
34","6' 01""",250,Iowa,DAL FA,14,CFA,9,,
#,Player,Pos.,DOB,Age,HT,WT,School,"Orig.
Team","Draft
Status","NFL
Exp."
63,"Kubas, Jake",OG,08/13/2000,24,"6' 04""",308,North Dakota State,NYG FA,24 CFA,R
97,"Lawrence II, Dexter",DT,11/12/1997,26,"6' 04""",340,Clemson,NYG,19 01 017,6
2,"Lock, Drew",QB,11/10/1996,27,"6' 04""",228,Missouri,DEN,19 02 042,6
85,"Manhertz, Chris",TE,04/10/1992,32,"6' 05""",235,Canisius,BUF FA,14 SFA,9
44,"McCloud, Nick",CB,07/09/1998,26,"6' 01""",193,Notre Dame,BUF FA,21 CFA,4
41,"McFadden, Micah",ILB,01/03/2000,24,"6' 01""",232,Indiana,NYG,22 05 146,3
53,"Muasau, Darius",ILB,02/10/2001,23,"6' 00""",234,UCLA,NYG,24 06 183,R
1,"Nabers, Malik",WR,07/28/2003,21,"6' 00""",200,LSU,NYG,24 01 006,R
73,"Neal, Evan",OT,09/19/2000,23,"6' 07""",340,Alabama,NYG,22 01 007,3
31,"Nubin, Tyler",S,06/14/2001,23,"6' 01""",210,Minnesota,NYG,24 02 047,R
93,"Nuñez-Roches, Rakeem",DT,07/03/1993,31,"6' 02""",305,Southern Miss,KC,15 06 217,10
51,"Ojulari, Azeez",OLB,06/16/2000,24,"6' 03""",240,Georgia,NYG,21 02 050,4
58,"Okereke, Bobby",ILB,07/29/1996,28,"6' 01""",235,Stanford,IND,19 03 089,6
80,"Olszewski, Gunner",WR,11/26/1996,27,"6' 00""",190,Bemidji State,NE FA,19 CFA,6
22,"Phillips, Dru",CB,11/30/2001,22,"5' 11""",180,Kentucky,NYG,24 03 070,R
27,"Pinnock, Jason",S,06/30/1999,25,"6' 00""",200,Pittsburgh,NYJ,21 05 175,4
95,"Riley, Jordon",DT,05/19/1998,26,"6' 05""",315,Oregon,NYG,23 07 243,2
17,"Robinson, Wan'Dale",WR,01/05/2001,23,"5' 08""",185,Kentucky,NYG,22 02 43,3
76,"Runyan, Jon",OG,08/08/1997,27,"6' 04""",307,Michigan,GB,20 06 192,5
61,"Schmitz Jr., John Michael",OC,03/19/1999,25,"6' 03""",320,Minnesota,NYG,23 02 057,2
19,"Simmons, Isaiah",S/ILB,07/26/1998,26,"6' 04""",238,Clemson,ARZ,20 01 008,5
26,"Singletary, Devin",RB,09/03/1997,27,"5' 07""",203,Florida Atlantic,BUF,19 03 074,6
86,"Slayton, Darius",WR,01/12/1997,27,"6' 01""",198,Auburn,NYG,19 05 171,6
64,"Stinnie, Aaron",OG,02/18/1994,30,"6' 03""",312,James Madison,TEN FA,18 CFA,7
5,"Thibodeaux, Kayvon",OLB,12/15/2000,23,"6' 04""",258,Oregon,NYG,22 01 005,3
78,"Thomas, Andrew",OT,01/22/1999,25,"6' 05""",315,Georgia,NYG,20 01 004,5
29,"Tracy Jr., Tyrone",RB,11/23/1999,24,"5' 11""",210,Purdue,NYG,24 05 166,R
74,"Van Roten, Greg",OG,02/26/1990,34,"6' 03""",295,Pennsylvania,GB FA,12 CFA,10
48,"Whitley, Benton",OLB,02/12/1999,25,"6' 03""",260,Holy Cross,LAR FA,22 CFA,3
L8o3g,"ICnager, Lawrence",TE,08/20/1997,27,"6' 05""",220,Georgia,NYJ FA,20 CFA,4
,,,,,,,,,,
45,"Fox, Tomon",OLB,03/16/1998,26,"6' 03""",245,North Carolina,NYG FA,22 CFA,2
90,"Garcia, Elijah",DE,03/11/1998,26,"6' 05""",302,Rice,LAR FA,22 CFA,2
35,"Green, Art",CB,04/29/2000,24,"6' 01""",200,Houston,DEN FA,23 CFA,1
#,Player,Pos.,DOB,Age,HT,WT,School,"Orig.
Team","Draft
Status","NFL
Exp."
18,"Hodgins, Isaiah",WR,10/21/1998,25,"6' 04""",200,Oregon State,BUF,20 06 207,4
30,"Johnson, Alex",S,10/11/2000,23,"6' 00""",185,UCLA,NYG FA,24 CFA,R
89,"Johnson, Jakob",TE/FB,12/15/1994,29,"6' 03""",255,Tennessee,NE FA,19 SFA,6
71,"Johnson, Marcellus",OT/OG,04/01/2000,24,"6' 04""",307,Missouri,NYG FA,24 CFA,R
21,"Layne, Raheem",S,07/02/1999,25,"5' 11""",192,Indiana,LAC FA,22 CFA,3
99,"McAtamney, Jude",PK,05/09/2000,24,"6' 01""",205,Rutgers,NYG FA,24 CFA,R
77,"Miles, Joshua",OT,01/04/1996,28,"6' 05""",325,Morgan State,ARZ,19 07 248,4
25,"Miller, Dante",RB,05/14/1999,25,"5' 09""",200,South Carolina,NYG FA,24 SFA,1
67,"Morrissey, Jimmy",OC,06/09/1998,26,"6' 03""",305,Pittsburgh,LV,21 07 230,3
39,"Owens, Gervarrius",S,10/14/1999,24,"6' 00""",200,Houston,NYG,23 07 254,2
91,"Rogers, Casey",DE,12/18/1998,25,"6' 04""",305,Oregon,NYG FA,24 CFA,R
33,"Shelley, Duke",CB,10/08/1996,27,"5' 09""",183,Kansas State,CHI,19 06 205,6
47,"Summers, Ty",ILB,12/31/1995,28,"6' 01""",241,TCU,GB,19 07 226,6
49,"Adams, Matthew",ILB,12/12/1995,28,"6' 00""",230,Houston,IND,18 07 221,7
70,"Cajuste, Yodny",OT,02/21/1996,28,"6' 05""",310,West Virginia,NE,19 03 101,4
21,"Cota, Chase",WR,11/09/1999,24,"6' 03""",200,Oregon,DET FA,23 CFA,1
,"Houston, Dennis",WR,04/24/1999,25,"6' 01""",198,Western Illinois,DAL FA,22 CFA,1
54,"Johnson, Dyontae",ILB,09/28/2000,23,"6' 02""",230,Toledo,NYG FA,23 CFA,1
87,"McKenzie, Isaiah",WR,04/09/1995,29,"5' 07""",173,Georgia,DEN,17 05 172,8
34,"Riley, Elijah",S,06/12/1998,26,"5' 11""",205,Army,PHI FA,20 CFA,4
65,"Schlottmann, Austin",OC,09/18/1995,28,"6' 05""",300,TCU,DEN FA,18 CFA,6
